customer_id,first_name,last_name,email,signup_date
32714,Amy,Gibson,bjackson@example.com,2000-01-01
83313,Tammy,Shannon,matthew90@demo.org,2000-01-01
11080,Matthew,Johnson,hollyharris@sample.net,2000-01-02
23947,Jennifer,Valdez,yhunt@example.com,2000-01-02
45508,James,Patton,shermanjustin@mail.com,2000-01-02
48304,Jill,Joseph,williamwallace@sample.net,2000-01-02
81733,Amber,Lucero,darren53@example.com,2000-01-02
81834,Jeanne,Harvey,gonzalezcarol@example.com,2000-01-02
72755,Ashley,Allen,josephmaldonado@test.com,2000-01-03
11353,Edward,Higgins,xmartinez@test.com,2000-01-04
50533,Jennifer,King,joshua35@sample.net,2000-01-04
75595,Patricia,Carr,jonathan04@example.com,2000-01-05
70173,Matthew,Foster,hstewart@mail.com,2000-01-06
9775,Melissa,Walker,pamela98@demo.org,2000-01-06
66784,Sheri,West,aanderson@mail.com,2000-01-07
67190,Kristen,Cobb,thomas44@mail.com,2000-01-07
79966,Patrick,Meadows,gonzalezblake@sample.net,2000-01-07
30260,Carl,Simon,stephanie10@test.com,2000-01-08
21183,Joshua,Hill,wellsbrady@demo.org,2000-01-10
57903,Thomas,Aguilar,tiffanywhite@mail.com,2000-01-10
18061,Gina,Fowler,fritzsean@example.com,2000-01-11
60099,Benjamin,Mendez,scottamanda@test.com,2000-01-12
24927,Bobby,Bryan,colemanluis@sample.net,2000-01-13
36770,Anita,Martin,iansteele@example.com,2000-01-13
63152,Jennifer,Oconnell,andrew24@demo.org,2000-01-13
14818,Erik,Bean,tmartin@test.com,2000-01-14
42065,Kathryn,Madden,vortiz@example.com,2000-01-14
15147,Rachel,Shaw,tewing@sample.net,2000-01-15
82169,Amy,Garcia,thomasmeghan@sample.net,2000-01-15
82651,Kenneth,Russell,joshua24@test.com,2000-01-15
8393,Andrew,Douglas,amberhuffman@example.com,2000-01-15
1586,Cody,Adams,stuart84@sample.net,2000-01-16
21523,Lance,Parrish,jamie32@mail.com,2000-01-16
41128,Daniel,Owens,singhmaria@example.com,2000-01-16
83008,Paula,Sullivan,julie81@demo.org,2000-01-16
9226,Samantha,Brown,justin58@sample.net,2000-01-16
48140,Christopher,Rasmussen,jocelynjoyce@example.com,2000-01-17
25093,Stephanie,Grimes,aaronbailey@mail.com,2000-01-18
69064,Joyce,Thompson,dtaylor@mail.com,2000-01-18
78686,Catherine,Austin,angela97@test.com,2000-01-18
79961,Brandi,Le,sbuchanan@sample.net,2000-01-18
20661,Patrick,Torres,michael26@sample.net,2000-01-19
43490,William,Cobb,xmclean@test.com,2000-01-19
59732,Anthony,Rodriguez,hillbrendan@sample.net,2000-01-19
44438,Megan,Baker,brownjudy@mail.com,2000-01-20
71711,Charles,Reilly,ibaker@demo.org,2000-01-20
8824,Nicole,Montes,lorettagill@example.com,2000-01-20
89195,Sarah,Wood,michele31@example.com,2000-01-20
6459,Caitlyn,Roberts,mooreashley@demo.org,2000-01-21
37922,Dylan,Moore,crystal59@mail.com,2000-01-22
9561,Michael,Snyder,meganrichards@example.com,2000-01-22
27815,Shane,Walker,conleysydney@sample.net,2000-01-23
40106,David,Maxwell,laurie62@test.com,2000-01-23
4040,Jennifer,Mullins,wadeethan@example.com,2000-01-23
66826,Steven,Pearson,gfuller@mail.com,2000-01-23
14970,Jorge,Williams,xday@test.com,2000-01-24
38666,Matthew,Guzman,matthewyates@demo.org,2000-01-24
48862,Kenneth,Pratt,frankreid@mail.com,2000-01-24
8660,Susan,Reyes,hudsonpaul@sample.net,2000-01-24
4901,Brian,Estrada,cunninghamjason@test.com,2000-01-25
52732,Todd,Conrad,bvincent@sample.net,2000-01-25
49004,Yvonne,Santos,smithkimberly@sample.net,2000-01-26
70875,Donna,Arnold,alisha96@example.com,2000-01-26
83066,Jeremy,Lynch,ryanarnold@demo.org,2000-01-26
81585,David,Beck,davidnewton@example.com,2000-01-27
14459,Debra,Johnson,whitemelissa@test.com,2000-01-28
