customer_id,first_name,last_name,email,signup_date
10289,Amy,Lopez,grivera@mail.com,2000-01-01
3945,Julie,Carlson,travisbarnett@example.com,2000-01-01
8171,Debra,Jenkins,ryanmitchell@demo.org,2000-01-01
25466,Courtney,Estrada,prubio@test.com,2000-01-02
53805,Stephen,Gonzalez,annglenn@mail.com,2000-01-02
5496,Jonathan,Clark,joseph53@mail.com,2000-01-02
25150,Tim,Rivera,gutierreztrevor@example.com,2000-01-03
36527,Carolyn,Mora,gonzalezmichael@mail.com,2000-01-04
55656,Brandon,Wise,codywatts@test.com,2000-01-04
24368,Samuel,Rose,arthurstanley@sample.net,2000-01-05
78880,Brandy,Guerrero,johnny04@test.com,2000-01-05
29886,Kim,Johnson,anthony09@example.com,2000-01-06
12580,Nicholas,Nelson,agomez@mail.com,2000-01-07
21663,Caleb,Green,greenestephen@sample.net,2000-01-07
46495,Connor,West,scotttiffany@sample.net,2000-01-07
62496,Regina,Travis,austin58@sample.net,2000-01-07
65767,Jennifer,Miller,reginaldsmith@test.com,2000-01-07
32913,Bradley,Velazquez,baileycody@demo.org,2000-01-08
81694,Bonnie,Whitehead,fjohnson@mail.com,2000-01-08
87271,Bryan,Bentley,briandodson@test.com,2000-01-08
10003,Jennifer,Horn,hebertcindy@test.com,2000-01-09
11599,Joseph,Moore,hlivingston@test.com,2000-01-09
188,Brittany,Hall,leonvictor@test.com,2000-01-09
43197,Suzanne,Bradford,adamcruz@sample.net,2000-01-09
48993,Michael,Garcia,fischerderek@demo.org,2000-01-09
89264,Elizabeth,White,lisastone@mail.com,2000-01-09
13957,Parker,Hancock,xward@demo.org,2000-01-10
36094,Samantha,Young,wprice@sample.net,2000-01-10
44626,Tracy,Cook,vickijennings@example.com,2000-01-10
5354,Ana,Bush,ybrown@demo.org,2000-01-10
62567,Angela,Morris,lisa68@demo.org,2000-01-10
52072,Amanda,Davis,scott99@demo.org,2000-01-11
55889,Karen,Mitchell,janetalvarado@demo.org,2000-01-11
61561,Steven,Gonzalez,kimberly06@mail.com,2000-01-11
17229,Erica,Becker,luiscontreras@test.com,2000-01-12
32795,Maureen,Johnson,shannon97@sample.net,2000-01-12
49138,Matthew,Lee,katrinabrown@example.com,2000-01-12
75831,Natalie,Mason,carterrebecca@sample.net,2000-01-12
39500,Sarah,Henderson,chad74@sample.net,2000-01-13
42708,Victoria,Martin,josephhansen@demo.org,2000-01-14
79128,Karen,White,peter73@example.com,2000-01-14
32467,Melissa,Hamilton,fcook@example.com,2000-01-15
84735,Jessica,Gomez,lmyers@sample.net,2000-01-15
87134,Christine,Carlson,soniaheath@sample.net,2000-01-15
